StudentID,Student_Name,Have_Speaking_Skill?,Have_Leadership_Skill?,Average_Extracurricular_Activity_Marks,Average_Subject_Marks,Average_Group_Work_Marks,Favourite_Sports,Favourite_Hobby,Have_Presentation_Skill?,Gender,Friends,Favourite_Subject,Is_Social?,Average_Teacher_Rating_For_Group_Works
52,Nimesh Sharma,No,No,50.57,68.16,67.31,['Netball'],Gardening,Yes,Female,Sunil,History,No,4.3
53,Aakash Verma,Yes,No,57.71,75.91,69.35,"['Cricket', 'Volleyball']",Reading,Yes,Female,"Patel, Verma, Riya",History,No,3.9
54,Karan Verma,Yes,No,65.88,74.36,74.13,"['Tennis', 'Rugby']",Reading,Yes,Male,"Mehta, Mehta",Science,No,3.8
55,Kasun Fernando,Yes,No,74.83,70.1,57.9,"['Netball', 'Football']",Painting,Yes,Female,Sneha,Science,Yes,4.1
56,Rohan Mehta,No,Yes,71.94,68.55,50.23,"['Netball', 'Cricket']",Playing guitar,Yes,Male,"Rhea, Patel, Sneha",Science,Yes,3.3
57,Priyanka Desai,No,No,68.19,67.95,69.72,['Football'],Reading,Yes,Female,"Raj, Patel",History,Yes,4.9
58,Vinay Patel,No,Yes,61.32,83.01,72.99,"['Volleyball', 'Netball']",Photography,Yes,Female,"Aditya, Rohan",Maths,Yes,3.3
59,Anushka Patel,Yes,Yes,59.08,80.64,68.05,['Tennis'],Writing,No,Female,"Patel, Patel, Mehta",English,No,4.2
60,Kunal Raj,No,Yes,51.23,84.26,55.17,"['Swimming', 'Rugby']",Dancing,No,Female,Pooja,Maths,Yes,4
61,Dev Kapoor,No,Yes,68.77,77.94,51.01,"['Rugby', 'Tennis']",Photography,No,Female,"Mehta, Amara, Mehta",Science,Yes,4.2
62,Priya Kaur,Yes,No,52.77,71.91,62.46,"['Football', 'Volleyball']",Photography,Yes,Female,"Raj, Kapoor, Kapoor",English,No,4.4
63,Ananya Nair,Yes,Yes,62.26,71.71,60.93,['Volleyball'],Playing guitar,Yes,Male,"Naveen, Kunal, Ariyarathna",History,Yes,4
64,Sunil Kapoor,No,Yes,53.81,70.01,50.47,"['Swimming', 'Netball']",Reading,Yes,Female,Desai,Maths,Yes,4.4
65,Neha Sharma,No,No,52.69,80.28,74.19,"['Football', 'Basketball']",Photography,No,Female,"Gamage, Mehta, Kapoor",Maths,No,2.5
66,Neha Raj,Yes,Yes,72.43,68.14,57.4,"['Netball', 'Rugby']",Music,No,Male,"Fernando, Rohan",Art,Yes,4.4
67,Priyanka Verma,Yes,No,70,84.76,69.65,['Volleyball'],Reading,Yes,Male,Kasun,Maths,Yes,2.8
68,Sejal Raj,Yes,No,66.94,72.77,70.86,"['Volleyball', 'Rugby']",Dancing,No,Female,"Verma, Gamage, Pooja",Art,Yes,3.9
69,Aditya Singh,Yes,No,68.79,68.95,73.02,"['Basketball', 'Volleyball']",Music,Yes,Female,Singh,Art,No,2.7
70,Sanjana Desai,No,Yes,68.75,66.55,50.34,"['Swimming', 'Tennis']",Gardening,No,Female,"Das, Simran",Art,Yes,3.5
71,Anushka Patel,No,Yes,71.73,75.45,63.69,['Cricket'],Gardening,No,Female,"Rana, Reena",History,No,4.3
72,Priyanka Desai,No,Yes,57.99,75.62,53.85,"['Basketball', 'Swimming']",Cooking,No,Male,"Gaurav, Sanjana",Art,Yes,2.6
73,Dasun Gamage,No,No,54.01,65.78,71.07,"['Basketball', 'Swimming']",Music,Yes,Male,"Arun, Mohit, Sneha",Maths,Yes,2.5
74,Rajesh Sharma,No,No,72.67,75.04,74.22,"['Netball', 'Volleyball']",Playing guitar,Yes,Male,"Fernando, Rohit",English,Yes,3.2
75,Nimesh Verma,Yes,Yes,56.95,80.84,71.14,"['Football', 'Tennis']",Music,No,Male,"Singh, Desai, Perera",Art,No,4.6
76,Kavita Desai,Yes,No,70.91,70.94,52.66,"['Cricket', 'Football']",Playing guitar,No,Male,"Vikas, Mehta",Science,Yes,3.1
77,Mithun Raj,No,No,71.63,74.85,64.6,['Football'],Reading,No,Female,"Anushka, Kularatne",History,Yes,3.4
78,Nalini Sharma,No,Yes,62.37,80.58,65.05,"['Volleyball', 'Rugby']",Playing guitar,No,Female,Karan,English,Yes,4.2
79,Neha Mehta,Yes,Yes,72.24,68.25,70.28,"['Cricket', 'Netball']",Playing guitar,Yes,Male,Kavya,Art,Yes,4.7
80,Sunil Kapoor,Yes,No,72.01,73.14,62.48,['Football'],Playing guitar,No,Female,"Kavya, Anjali, Singh",Maths,No,5
81,Kasun Verma,No,No,50.68,83.63,69.05,"['Swimming', 'Netball']",Gardening,No,Female,"Mithun, Fernando",Science,Yes,4
82,Reena Gamage,Yes,No,74.74,80.32,57.11,['Football'],Gardening,No,Female,Dasun,Science,No,3.4
83,Manish Sharma,No,No,53.85,77.54,58.22,['Volleyball'],Photography,Yes,Female,"Raj, Mehta",Art,Yes,4.9
84,Rajesh Das,Yes,Yes,62.79,69.4,56.67,['Volleyball'],Photography,No,Female,"Ariyarathna, Sharma, Patel",Maths,Yes,3.3
85,Vikram Singh,No,No,68.17,79.19,65.19,['Netball'],Reading,Yes,Female,Nalini,Maths,No,4.2
86,Rajesh Patel,Yes,No,60.7,83.96,67.7,"['Swimming', 'Football']",Photography,No,Male,"Kapoor, Desai",History,Yes,2.8
87,Amara Desai,Yes,Yes,74.5,68.44,65.44,['Rugby'],Playing guitar,Yes,Female,"Desai, Mehta, Arjun",English,Yes,4.2
88,Aditya Mehta,No,Yes,69.98,74.51,59.24,"['Netball', 'Football']",Music,Yes,Female,"Verma, Kaur",Science,Yes,3.9
89,Rohan Rana,No,No,61.25,74.02,67.77,"['Cricket', 'Tennis']",Writing,No,Male,"Das, Shruti",Science,No,2.7
90,Shreya Raj,Yes,No,70.2,78.79,55.19,"['Football', 'Cricket']",Playing guitar,No,Male,Sneha,Science,Yes,3.4
91,Shruti Patel,No,Yes,54.55,65.68,61.56,['Basketball'],Playing guitar,No,Male,"Perera, Kularatne",History,Yes,3.5
92,Manish Raj,Yes,Yes,52.42,84.1,66,['Rugby'],Dancing,Yes,Male,"Vinay, Raj",English,No,4.9
93,Rohan Mehta,No,No,61.38,84.47,64.07,['Cricket'],Reading,Yes,Female,"Kavita, Priyanka, Verma",Maths,Yes,4.5
94,Riya Kaur,No,Yes,56.73,82.72,69.34,"['Rugby', 'Football']",Photography,Yes,Male,"Naveen, Shruti, Kaur",English,No,3.9
95,Sunil Verma,No,Yes,55.22,70.17,69.5,['Rugby'],Writing,No,Female,"Ananya, Vinay, Aakash",Maths,Yes,4.2
96,Arun Perera,No,Yes,58.16,68.85,64.4,['Basketball'],Playing guitar,Yes,Male,"Kapoor, Desai",English,Yes,2.7
97,Arjun Mehta,No,Yes,60.19,69.45,62.39,"['Volleyball', 'Cricket']",Cooking,Yes,Female,Raj,Maths,Yes,2.9
98,Vikram Kapoor,Yes,Yes,55.44,80.79,50,['Tennis'],Photography,Yes,Male,"Mehta, Verma",Science,Yes,3.5
99,Dev Verma,Yes,No,57.81,76.35,56.02,"['Football', 'Cricket']",Cooking,Yes,Female,"Silva, Anushka",Art,Yes,3.2
100,Simran Ariyarathna,Yes,Yes,60.68,68.77,55.6,"['Basketball', 'Tennis']",Reading,Yes,Male,"Patel, Anushka, Kapoor",Art,No,4.6
101,Neha Verma,No,Yes,72.45,76.05,58.76,"['Swimming', 'Netball']",Cooking,Yes,Female,"Aakash, Rohan",Art,Yes,2.6
102,Arun Desai,Yes,No,68.72,83.49,73.59,['Tennis'],Reading,No,Female,"Gaurav, Patel, Mehta",History,Yes,4
103,Ananya Desai,No,No,66.26,69.53,65.37,"['Netball', 'Basketball']",Reading,No,Male,"Riya, Sunil",English,No,3.9
104,Naveen Raj,No,Yes,51.47,71.72,59.06,"['Tennis', 'Football']",Dancing,Yes,Male,"Mehta, Naveen, Sejal",Maths,No,3.5
105,Anjali Raj,No,No,61.59,70.83,51.89,"['Basketball', 'Tennis']",Photography,No,Male,"Desai, Anjali, Rohan",Science,No,3.7
106,Rohan Verma,No,No,73.93,83.34,62.7,['Basketball'],Dancing,No,Male,"Mehta, Ariyarathna, Sanjana",History,No,3.4
107,Sanjana Raj,No,Yes,73.11,80.94,62.87,"['Swimming', 'Netball']",Photography,No,Female,Mehta,English,Yes,2.8
108,Arjun Patel,Yes,Yes,50.25,74.17,71.88,"['Netball', 'Tennis']",Playing guitar,No,Female,Shruti,History,Yes,2.8
109,Aditya Sharma,No,Yes,64.23,81.19,74.9,['Volleyball'],Photography,Yes,Female,"Shruti, Mehta",History,Yes,3.2
110,Sanjana Patel,No,No,73.67,75.25,71.92,['Netball'],Music,No,Female,"Patel, Aman",English,Yes,4.9
111,Reena Mehta,Yes,No,51.63,71.82,52.73,"['Cricket', 'Swimming']",Reading,No,Female,Rohit,Science,Yes,4
112,Aakash Kapoor,Yes,Yes,73.36,77.6,70.56,['Basketball'],Photography,No,Male,"Rhea, Vikram",Art,Yes,4.2
113,Rahul Sharma,Yes,No,56.21,71.55,61.45,['Volleyball'],Photography,No,Male,Vikram,Science,No,4.6
114,Rhea Kularatne,No,Yes,68.39,75.47,51.31,['Rugby'],Writing,Yes,Male,Kapoor,Science,Yes,3.4
115,Kavita Kularatne,No,No,54.18,84.31,54.46,"['Rugby', 'Basketball']",Painting,No,Female,"Rajesh, Vikram, Singh",Maths,Yes,3.6
116,Mithun Verma,No,No,73.29,73.18,67.94,"['Rugby', 'Basketball']",Photography,No,Male,Sanjana,English,No,4.1
117,Aakash Rao,No,No,67.45,78.87,67.97,"['Cricket', 'Basketball']",Reading,No,Male,Aman,Art,Yes,4.9
118,Riya Rao,Yes,No,70.48,69.93,64.74,['Cricket'],Cooking,No,Female,"Singh, Gamage, Amara",Art,No,2.6
119,Sunil Desai,Yes,Yes,56.28,67.02,61.75,['Swimming'],Gardening,No,Male,Mohit,History,Yes,3.8
120,Rajesh Sharma,Yes,Yes,50.52,65.15,61.45,"['Volleyball', 'Cricket']",Painting,Yes,Male,Arun,Science,Yes,3.7
121,Anjali Kularatne,No,Yes,66.96,65.76,54.77,['Tennis'],Photography,No,Male,Mehta,Art,No,3.2
122,Sanjana Raj,Yes,Yes,50.16,71.33,74.43,"['Tennis', 'Swimming']",Gardening,Yes,Male,"Fernando, Mehta, Riya",Science,No,2.7
123,Nimesh Singh,Yes,No,74.64,68.66,62.98,['Basketball'],Dancing,No,Female,Nimesh,Art,No,3.4
124,Aman Desai,No,Yes,71.26,84.73,66.48,['Cricket'],Cooking,Yes,Male,"Vinay, Raj",Maths,No,4.4
125,Anjali Rana,Yes,Yes,62.39,80.46,67.1,"['Netball', 'Rugby']",Reading,Yes,Male,"Priyanka, Sharma",History,Yes,3.9
126,Naveen Verma,Yes,No,60.58,84.23,72.63,['Tennis'],Dancing,No,Male,"Raj, Rahul, Shruti",Art,No,4.5
127,Rohit Desai,No,Yes,57.64,70.36,56.14,"['Rugby', 'Basketball']",Photography,No,Male,"Verma, Desai",English,No,4.8
128,Manish Raj,No,Yes,70.61,76.22,63.35,"['Basketball', 'Swimming']",Cooking,No,Female,"Dev, Gamage",English,Yes,4.9
129,Aman Patel,Yes,No,73.89,77.97,54.79,['Volleyball'],Music,No,Female,"Desai, Nimesh",Maths,Yes,3.8
130,Gaurav Raj,No,No,74.35,83.01,70.76,"['Volleyball', 'Football']",Photography,No,Male,"Rahul, Patel",English,No,4.1
131,Anjali Raj,No,Yes,52.08,69.98,71.58,['Volleyball'],Painting,No,Male,Nair,Art,Yes,4.4
132,Manish Ariyarathna,Yes,Yes,71.22,82.12,61.52,['Rugby'],Playing guitar,Yes,Female,Patel,English,Yes,3.4
133,Naveen Desai,Yes,No,52.12,68.36,65.34,"['Rugby', 'Tennis']",Music,No,Male,"Sanjana, Rahul",Science,Yes,4.1
134,Sanjana Rana,No,No,64.17,71.2,52.34,['Cricket'],Cooking,Yes,Male,Mehta,English,Yes,4.4
135,Priya Rana,No,Yes,66.51,71.32,61.78,['Swimming'],Reading,No,Female,"Dasun, Desai, Dev",History,No,3.3
136,Shreya Das,Yes,No,70.29,78.61,52.08,"['Rugby', 'Football']",Playing guitar,Yes,Male,"Kavya, Fernando, Patel",English,Yes,2.8
137,Kavita Patel,No,No,74.12,66.31,57.24,['Cricket'],Music,No,Female,"Patel, Patel",English,Yes,4.1
138,Rohan Raj,Yes,No,71.71,69.83,63.22,"['Volleyball', 'Basketball']",Dancing,No,Female,Verma,English,No,4.4
139,Anjali Patel,No,No,58.39,78.08,69.92,['Basketball'],Gardening,Yes,Female,"Karan, Sharma, Verma",Maths,Yes,3.1
140,Sanjana Patel,Yes,No,51.25,71.1,50.98,"['Volleyball', 'Tennis']",Music,No,Female,"Perera, Kapoor, Mehta",History,Yes,4.6
141,Nalini Mehta,Yes,No,58.57,79.4,68.83,"['Netball', 'Basketball']",Writing,Yes,Male,"Mehta, Rajesh, Singh",History,No,3.9
142,Kunal Desai,No,Yes,58.3,83.58,53.02,"['Football', 'Tennis']",Gardening,No,Female,"Verma, Arun",History,Yes,3.1
143,Arjun Sharma,Yes,No,58.54,71.16,64.38,"['Tennis', 'Basketball']",Dancing,No,Female,Desai,English,Yes,4.9
144,Naveen Mehta,Yes,Yes,59.72,69.66,53.79,['Rugby'],Writing,No,Female,"Anushka, Priya",History,No,2.8
145,Mithun Singh,Yes,No,71.5,80.37,68.31,"['Cricket', 'Volleyball']",Dancing,Yes,Female,Raj,Science,No,3.7
146,Anil Raj,No,No,55.56,79.26,55.81,"['Swimming', 'Netball']",Music,Yes,Male,"Perera, Kavya",History,Yes,3.6
147,Aditya Mehta,No,No,71.04,72.77,59.11,"['Tennis', 'Football']",Writing,Yes,Male,"Mehta, Manish",History,Yes,5
148,Kunal Singh,Yes,Yes,65.28,71.09,55.23,['Netball'],Painting,Yes,Female,Rao,Maths,Yes,3.4
149,Pooja Mehta,Yes,Yes,50.7,66.97,69.12,['Cricket'],Writing,No,Male,"Gaurav, Nalini, Raj",English,Yes,4.6
150,Rhea Raj,No,No,52.69,66.72,53.88,"['Volleyball', 'Cricket']",Music,Yes,Female,Singh,Maths,No,3.9
151,Manish Raj,Yes,No,70.09,76.45,60.37,"['Cricket', 'Football']",Dancing,No,Female,"Gamage, Priya",Science,No,4
152,Pooja Sharma,Yes,No,56.6,77.59,54.16,"['Cricket', 'Basketball']",Writing,No,Male,"Rahul, Gamage",Art,Yes,2.6
153,Nalini Kapoor,Yes,Yes,70.94,75.37,64.11,"['Basketball', 'Football']",Painting,Yes,Female,Aman,English,Yes,4.8
154,Aakash Kaur,Yes,Yes,70.23,73.05,66.96,"['Basketball', 'Football']",Photography,Yes,Male,"Mehta, Patel",Art,No,3.2
155,Vinay Singh,No,Yes,63.5,77.94,66.78,['Netball'],Painting,No,Female,"Singh, Vikram, Mehta",English,No,3.8
156,Mithun Mehta,No,No,74.71,78.83,53.19,['Tennis'],Writing,Yes,Male,Desai,English,No,5
157,Kunal Das,No,No,56.96,81.16,61.93,"['Basketball', 'Netball']",Photography,Yes,Male,"Mehta, Sharma",Maths,Yes,3.8
158,Kavya Sharma,No,Yes,70.22,74.72,60.41,"['Netball', 'Volleyball']",Writing,Yes,Female,"Silva, Desai, Rohan",History,Yes,3.8
159,Shreya Perera,Yes,No,55.77,69.68,72.24,['Basketball'],Cooking,Yes,Female,Raj,History,Yes,3.4
160,Sejal Mehta,No,No,73.24,77.57,64.17,['Volleyball'],Writing,Yes,Female,"Anushka, Sejal, Verma",History,Yes,3
161,Pooja Patel,No,Yes,62.68,82.11,63.07,"['Netball', 'Tennis']",Writing,No,Male,"Shreya, Verma",English,No,4.3
162,Ananya Raj,No,Yes,68.64,72.53,65.56,['Basketball'],Reading,Yes,Female,Singh,Science,No,4.7
163,Reena Kaur,No,No,72.74,66.57,58.04,"['Cricket', 'Swimming']",Music,No,Female,Kapoor,Science,Yes,3.8
164,Shruti Kapoor,Yes,No,69.62,73.58,58.24,"['Cricket', 'Rugby']",Gardening,No,Female,"Raj, Mehta",Art,Yes,2.6
165,Anushka Sharma,No,Yes,60.11,67.09,68.29,"['Basketball', 'Rugby']",Dancing,No,Male,"Patel, Arun, Singh",Science,Yes,4.5
166,Dasun Sharma,Yes,No,61.45,66.48,52.58,"['Netball', 'Tennis']",Painting,No,Male,"Sejal, Sharma",Art,Yes,3.7
167,Rohan Perera,Yes,No,69.31,68.25,57.83,"['Cricket', 'Swimming']",Playing guitar,No,Male,"Raj, Desai",Maths,No,4
168,Pooja Kularatne,No,Yes,54.25,75.61,70.16,"['Tennis', 'Volleyball']",Reading,No,Female,Sharma,History,Yes,4.5
169,Gaurav Desai,No,Yes,56.51,68.88,65.59,"['Tennis', 'Swimming']",Photography,Yes,Male,"Rahul, Vinay, Anushka",Maths,No,4.9
170,Rohan Mehta,No,No,71.28,77.82,69.67,['Swimming'],Writing,No,Female,"Verma, Nair, Nalini",Maths,Yes,4.1
171,Sneha Kapoor,No,No,56.24,77.76,53.86,"['Volleyball', 'Swimming']",Reading,Yes,Male,"Nimesh, Kularatne",English,Yes,3.6
172,Pooja Patel,Yes,No,58.17,73.25,74.61,['Netball'],Gardening,No,Male,Neha,Art,Yes,3.8
173,Sneha Mehta,No,Yes,64.18,83.32,50.57,['Netball'],Cooking,Yes,Male,Ariyarathna,Science,Yes,4.6
174,Arun Mehta,Yes,No,52.8,72.85,68.39,['Swimming'],Writing,No,Male,"Singh, Rajesh, Rohan",Art,Yes,4.8
175,Arjun Kapoor,No,Yes,55.67,76.87,58.05,"['Swimming', 'Netball']",Music,Yes,Female,"Raj, Ariyarathna",Art,Yes,4.7
176,Rhea Sharma,No,Yes,69.94,69.05,65.01,['Football'],Gardening,Yes,Female,"Verma, Anjali, Patel",Science,No,5
177,Shruti Verma,Yes,No,61.36,80.4,68.77,"['Football', 'Basketball']",Cooking,No,Female,"Rohan, Mehta, Rajesh",History,Yes,4.6
178,Shreya Perera,Yes,Yes,61.83,73.49,62.78,['Cricket'],Reading,Yes,Female,"Mohit, Mehta, Singh",Science,No,4.1
179,Anil Mehta,No,No,59.13,79.33,54.5,"['Basketball', 'Volleyball']",Cooking,Yes,Male,"Raj, Rhea",English,Yes,3.8
180,Simran Singh,Yes,No,51.49,68.41,74.67,"['Football', 'Basketball']",Cooking,No,Female,"Priyanka, Nalini",Art,No,2.8
181,Karan Patel,No,No,70.92,76.13,66.71,['Tennis'],Gardening,Yes,Male,Mehta,Art,No,3.8
182,Shreya Silva,No,No,72.99,73.5,56.99,['Volleyball'],Gardening,No,Female,Anil,Maths,Yes,2.8
183,Riya Singh,No,No,60.59,70.55,67.57,['Tennis'],Cooking,Yes,Female,"Karan, Kaur, Anushka",English,Yes,3.7
184,Karan Patel,No,Yes,54.22,81.4,55.07,"['Cricket', 'Swimming']",Gardening,Yes,Male,"Nimesh, Riya",Science,Yes,4.2
185,Aakash Das,Yes,Yes,61.03,70.46,60.46,['Tennis'],Photography,Yes,Female,Kavya,English,Yes,4
186,Sanjana Singh,No,No,53.55,80.1,58.04,['Tennis'],Photography,Yes,Male,"Kasun, Desai",Maths,No,3.9
187,Rajesh Ariyarathna,Yes,Yes,74.26,77.74,72.05,['Tennis'],Gardening,Yes,Female,"Neha, Raj",English,No,2.8
188,Amara Raj,Yes,No,53.27,73.65,62.4,['Basketball'],Dancing,Yes,Male,"Reena, Arjun",History,No,4.3
189,Vikram Singh,No,Yes,58.3,81.78,74.69,"['Swimming', 'Netball']",Gardening,Yes,Female,Verma,Science,Yes,3.1
190,Riya Gamage,No,No,57.87,82.8,58.83,"['Tennis', 'Swimming']",Dancing,Yes,Male,"Desai, Kularatne, Dasun",History,Yes,3.9
191,Shreya Nair,No,Yes,74.25,77.07,61.13,['Cricket'],Playing guitar,No,Female,"Kapoor, Aditya",History,No,3.3
192,Sejal Sharma,No,Yes,52.74,77.77,54.12,"['Volleyball', 'Cricket']",Writing,Yes,Male,Vikas,Science,Yes,2.5
193,Sunil Kaur,Yes,No,54.49,82.46,61.33,"['Netball', 'Cricket']",Writing,Yes,Female,"Priyanka, Gaurav, Priyanka",Maths,Yes,2.6
194,Shruti Sharma,No,Yes,73.7,70.46,50.88,"['Basketball', 'Swimming']",Writing,No,Male,Perera,English,No,2.5
195,Shreya Mehta,No,No,58.51,78,69,"['Rugby', 'Tennis']",Reading,No,Male,"Desai, Desai, Kapoor",English,No,4.2
196,Priyanka Singh,Yes,No,73.97,70.94,61.46,['Volleyball'],Reading,Yes,Male,"Kavita, Fernando, Nair",Art,Yes,4.6
